,DATE,gdp,Country
0,2016-08-01,99.2648376270098,France
1,2016-09-01,99.2738431974357,France
2,2016-10-01,99.3218487123792,France
3,2016-11-01,99.4052677416673,France
4,2016-12-01,99.5188445569161,France
5,2017-01-01,99.6538694819912,France
6,2017-02-01,99.8012995073188,France
7,2017-03-01,99.953236079962,France
8,2017-04-01,100.103414110295,France
9,2017-05-01,100.24728426386,France
10,2017-06-01,100.382125960015,France
11,2017-07-01,100.507522355327,France
12,2017-08-01,100.622019259423,France
13,2017-09-01,100.720380888932,France
14,2017-10-01,100.791563801719,France
15,2017-11-01,100.823871007484,France
16,2017-12-01,100.812013222584,France
17,2018-01-01,100.766876747764,France
18,2018-02-01,100.705992750799,France
19,2018-03-01,100.646388684594,France
20,2018-04-01,100.598612986756,France
21,2018-05-01,100.5693487864,France
22,2018-06-01,100.56317764771,France
23,2018-07-01,100.583015437257,France
24,2018-08-01,100.630551906063,France
25,2018-09-01,100.704825237834,France
26,2018-10-01,100.798804394937,France
27,2018-11-01,100.902992043001,France
28,2018-12-01,101.007611462238,France
29,2019-01-01,101.104069552019,France
30,2019-02-01,101.183899063894,France
31,2019-03-01,101.238298512867,France
32,2019-04-01,101.258882513604,France
33,2019-05-01,101.23732299192,France
34,2019-06-01,101.167440978382,France
35,2019-07-01,101.050328715988,France
36,2019-08-01,100.891302749443,France
37,2019-09-01,100.70026970826,France
38,2019-10-01,100.495114886885,France
39,2019-11-01,100.295771119997,France
40,2019-12-01,100.119426575866,France
41,2020-01-01,99.975438056589,France
42,2020-02-01,99.8685884173244,France
43,2020-03-01,80.6021188818053,France
44,2020-04-01,79.5064652811611,France
45,2020-05-01,78.8983747970604,France
46,2020-06-01,84.3670382947409,France
47,2020-07-01,89.824657023214,France
48,2020-08-01,95.279237485269,France
49,2020-09-01,94.7606760227056,France
50,2020-10-01,94.2477961453122,France
51,2020-11-01,93.7357280041385,France
52,2020-12-01,93.6293988787714,France
53,2021-01-01,93.5221744240604,France
54,2021-02-01,93.4144308916799,France
55,2021-03-01,93.7491292149454,France
56,2021-04-01,94.0838997558611,France
57,2021-05-01,94.4103369039944,France
58,2021-06-01,95.3376417965597,France
59,2021-07-01,96.2560719048726,France
60,2021-08-01,97.178231586288,France
