,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
98,Isle of Man,IMN,EURO,OWID,2021-09-24,129302.0,65461.0,152.063,76.984,63841.0,75.079,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0
99,Israel,ISR,EURO,OWID,2021-09-26,14929278.0,6091332.0,172.482,70.375,5616849.0,64.893,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
100,Italy,ITA,EURO,OWID,2021-09-26,83986620.0,44873673.0,140.819,75.239,40538643.0,67.971,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
101,Jamaica,JAM,AMRO,REPORTING,2021-09-24,715860.0,518836.0,24.175,17.521,220722.0,7.454,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-10,4.0
102,Japan,JPN,WPRO,REPORTING,2021-09-12,144312589.0,79835876.0,114.102,63.123,64476713.0,50.979,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-17,4.0
103,Jersey,JEY,EURO,OWID,2021-09-19,150891.0,76998.0,139.978,71.429,73893.0,68.549,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
104,Jordan,JOR,EMRO,REPORTING,2021-09-25,6903943.0,3668113.0,67.665,35.951,3235830.0,31.714,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-13,6.0
105,Kazakhstan,KAZ,EURO,OWID,2021-09-26,13901899.0,7508100.0,74.038,39.986,6393799.0,34.052,"QazVac, Sinopharm/HayatVax, Gamaleya - Sputnik V",,3.0
106,Kenya,KEN,AFRO,REPORTING,2021-09-26,3613357.0,2724742.0,6.72,5.067,888615.0,1.653,SII - Covishield,2021-03-05,1.0
107,Kiribati,KIR,WPRO,REPORTING,2021-09-10,36258.0,29429.0,30.354,24.637,6829.0,5.717,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-05-26,2.0
108,Kosovo,XKX,EURO,OWID,2021-09-26,1274156.0,770658.0,70.957,42.918,503498.0,28.04,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0
109,Kuwait,KWT,EMRO,REPORTING,2021-08-04,2380000.0,,55.73,,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-28,5.0
110,Kyrgyzstan,KGZ,EURO,OWID,2021-09-26,1407167.0,805902.0,21.568,12.353,596568.0,9.144,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2.0
